ref_registre;direction;type_dossier;type_libelle;objet;priorite;date_reception;date_cloture;delai_total_jours;delai_cible_jo;responsable_identifie;respect_delai_interne;maillon_blocage;jours_au_blocage;source_donnee;observations
REG-DIER-2024-0001;DIER;MARCHE-SMP;Marche public simplifie;Consultation entretien route nationale N3 troncon Mbalmayo;Normal;2024-01-05;2024-02-19;36;15;non;oui;Archivage;18;Classeur Excel partage;Circuit incomplet sur registre
REG-DIER-2024-0002;DIER;MARCHE-SMP;Marche public simplifie;Achat fournitures bureau division technique;Tres urgent;2024-02-08;2024-03-16;30;15;non;non;Validation directeur;19;Cahier transmission;Dossier revenu en arriere sans trace
REG-DIER-2024-0003;DIER;MARCHE-SMP;Marche public simplifie;Travaux reparation pont metallique;Urgent;2024-03-12;2024-05-15;47;15;non;non;Enregistrement;31;Registre papier courrier;
REG-DIER-2024-0004;DIER;MARCHE-SMP;Marche public simplifie;Maintenance engins de chantier;Normal;2024-04-03;2024-06-10;51;15;non;non;Visa budget;33;Registre papier courrier;Retard non signale
REG-DIER-2024-0005;DIER;MARCHE-SMP;Marche public simplifie;Fourniture signalisation routiere;Urgent;2024-05-17;2024-08-08;63;15;oui;oui;Visa budget;42;Cahier transmission;Absence visa intermediaire
REG-DIER-2024-0006;DIER;MARCHE-SMP;Marche public simplifie;Etude faisabilite amenagement carrefour;Normal;2024-06-09;2024-08-15;50;15;oui;non;Instruction technique;21;Email sans suivi;Absence visa intermediaire
REG-DIER-2024-0007;DIER;MARCHE-SMP;Marche public simplifie;Rehabilitation bureaux DRTP siege;Normal;2024-07-22;2024-10-03;53;15;oui;oui;Validation directeur;27;Email sans suivi;
REG-DIER-2024-0008;DIER;MARCHE-SMP;Marche public simplifie;Entretien courant chaussee secteur urbain;Urgent;2024-08-14;2024-10-17;47;15;non;oui;Enregistrement;43;Cahier transmission;
REG-DIER-2024-0009;DIER;MARCHE-SMP;Marche public simplifie;Acquisition materiel topographique;Normal;2024-09-06;2024-11-19;57;15;oui;non;Avis SG;27;Registre papier courrier;Absence visa intermediaire
REG-DIER-2024-0010;DIER;MARCHE-SMP;Marche public simplifie;Service gardiennage locaux techniques;Normal;2024-10-19;2024-12-23;48;15;non;non;Instruction technique;44;Classeur Excel partage;Circuit incomplet sur registre
REG-DIER-2024-0011;DIER;MARCHE-SMP;Marche public simplifie;Consultation entretien route nationale N3 troncon Mbalmayo;Normal;2024-11-11;2024-01-24;57;15;non;oui;Archivage;45;Cahier transmission;Circuit incomplet sur registre
REG-DIER-2024-0012;DIER;MARCHE-SMP;Marche public simplifie;Achat fournitures bureau division technique;Urgent;2024-12-04;2024-01-17;35;15;non;non;Avis SG;11;Cahier transmission;Absence visa intermediaire
REG-DIER-2024-0013;DIER;MARCHE-SMP;Marche public simplifie;Travaux reparation pont metallique;Urgent;2024-01-05;2024-03-19;58;15;non;non;Enregistrement;34;Classeur Excel partage;Circuit incomplet sur registre
REG-DIER-2024-0014;DIER;MARCHE-SMP;Marche public simplifie;Maintenance engins de chantier;Urgent;2024-02-08;2024-04-12;48;15;oui;non;Avis SG;23;Cahier transmission;Dossier revenu en arriere sans trace
REG-DIER-2024-0015;DIER;MARCHE-SMP;Marche public simplifie;Fourniture signalisation routiere;Normal;2024-03-12;2024-05-15;47;15;non;non;Visa budget;15;Cahier transmission;Dossier revenu en arriere sans trace
REG-DIER-2024-0016;DIER;MARCHE-SMP;Marche public simplifie;Etude faisabilite amenagement carrefour;Normal;2024-04-03;2024-05-20;39;15;non;non;Validation directeur;24;Email sans suivi;
REG-DIER-2024-0017;DIER;MARCHE-SMP;Marche public simplifie;Rehabilitation bureaux DRTP siege;Normal;2024-05-17;2024-08-10;65;15;oui;non;Validation directeur;32;Classeur Excel partage;Retard non signale
REG-DIER-2024-0018;DIER;MARCHE-SMP;Marche public simplifie;Entretien courant chaussee secteur urbain;Normal;2024-06-09;2024-08-18;53;15;non;non;Validation directeur;44;Registre papier courrier;Dossier revenu en arriere sans trace
REG-DIER-2024-0019;DIER;MARCHE-SMP;Marche public simplifie;Acquisition materiel topographique;Urgent;2024-07-22;2024-08-14;20;15;oui;oui;Avis SG;6;Cahier transmission;Absence visa intermediaire
REG-DIER-2024-0020;DIER;MARCHE-SMP;Marche public simplifie;Service gardiennage locaux techniques;Normal;2024-08-14;2024-11-02;60;15;non;non;Archivage;40;Registre papier courrier;Absence visa intermediaire
REG-DIER-2024-0021;DIER;MARCHE-SMP;Marche public simplifie;Consultation entretien route nationale N3 troncon Mbalmayo;Normal;2024-09-06;2024-10-12;28;15;non;oui;Enregistrement;18;Cahier transmission;Circuit incomplet sur registre
REG-DIER-2024-0022;DIER;MARCHE-SMP;Marche public simplifie;Achat fournitures bureau division technique;Normal;2024-10-19;2024-12-05;36;15;non;non;Visa budget;31;Classeur Excel partage;Dossier revenu en arriere sans trace
REG-DIER-2024-0023;DIER;MARCHE-SMP;Marche public simplifie;Travaux reparation pont metallique;Normal;2024-11-11;2024-01-15;48;15;oui;oui;Avis SG;41;Classeur Excel partage;Dossier revenu en arriere sans trace
REG-DIER-2024-0024;DIER;MARCHE-SMP;Marche public simplifie;Maintenance engins de chantier;Normal;2024-12-04;2024-02-04;44;15;non;non;Enregistrement;19;Registre papier courrier;Absence visa intermediaire
REG-DIER-2024-0025;DIER;MARCHE-SMP;Marche public simplifie;Fourniture signalisation routiere;Normal;2024-01-05;2024-02-18;35;15;non;oui;Visa budget;32;Classeur Excel partage;Circuit incomplet sur registre
REG-DIER-2024-0026;DIER;MARCHE-SMP;Marche public simplifie;Etude faisabilite amenagement carrefour;Urgent;2024-02-08;2024-03-15;29;15;oui;oui;Avis SG;11;Email sans suivi;Dossier revenu en arriere sans trace
REG-DIER-2024-0027;DIER;MARCHE-SMP;Marche public simplifie;Rehabilitation bureaux DRTP siege;Urgent;2024-03-12;2024-05-01;39;15;non;non;Avis SG;28;Email sans suivi;Circuit incomplet sur registre
REG-DIER-2024-0028;DIER;MARCHE-SMP;Marche public simplifie;Entretien courant chaussee secteur urbain;Normal;2024-04-03;2024-06-10;51;15;non;non;Instruction technique;44;Cahier transmission;Circuit incomplet sur registre
REG-DIER-2024-0029;DIER;MARCHE-SMP;Marche public simplifie;Acquisition materiel topographique;Urgent;2024-05-17;2024-07-04;37;15;non;oui;Archivage;19;Registre papier courrier;Dossier revenu en arriere sans trace
REG-DIER-2024-0030;DIER;MARCHE-SMP;Marche public simplifie;Service gardiennage locaux techniques;Normal;2024-06-09;2024-07-22;35;15;non;non;Archivage;30;Classeur Excel partage;Dossier revenu en arriere sans trace
